id,agricultor_id,agricultor,unidad_produccion,lote,ha_a_cosechar,codigo_estacion,station_id,fecha_inicio_siembra,dias_inicio_post_siembra,duracion_dias,meta_lluvia_mm,umbral_dia_seco_mm,fecha_inicio_rango,fecha_fin_rango,dias_transcurridos,lluvia_acumulada_mm,pct_completacion,racha_actual_dias_secos,racha_maxima_dias_secos,updated_at
ad994139-9590-4367-a18b-7f89c983ae89,3cee0691-8a38-4379-b3f2-ee96d57d8a57,Juan Vicente Risso,Juan Hilario,Cosechadora quemada 2,34.83,,,2026-05-29,63,30,140,0.3,2026-07-31,2026-08-30,,,,0,0,2026-07-13T15:26:41.66499+00:00
e772acfa-f1f8-46c3-99d1-7bed9eec4312,3cee0691-8a38-4379-b3f2-ee96d57d8a57,Juan Vicente Risso,Juan Hilario,Cosechadora quemada 3,26.85,,,2026-05-30,63,30,140,0.3,2026-08-01,2026-08-31,,,,0,0,2026-07-13T15:26:41.66499+00:00
9b2dc289-d884-47ab-a882-08ab0eaf989d,3cee0691-8a38-4379-b3f2-ee96d57d8a57,Juan Vicente Risso,Juan Hilario,Cosechadora quemada 4,25.54,,,2026-05-30,63,30,140,0.3,2026-08-01,2026-08-31,,,,0,0,2026-07-13T15:26:41.66499+00:00
628029e0-f3d7-4151-850e-680a3e0266b9,4d8f0268-961d-4d03-b75a-a944385d9c46,Elisa Bustamante,Agropecuaria Dos Caminos,Dugarte 3,24.31,P19,236176,2026-06-12,63,30,140,0.3,2026-08-14,2026-09-13,0,0,0,0,0,2026-07-13T15:26:41.66499+00:00
f39aa274-4a2b-4cfc-a09a-3435bf844bf1,4d8f0268-961d-4d03-b75a-a944385d9c46,Elisa Bustamante,Agropecuaria Dos Caminos,Dugarte 4,25.01,P19,236176,2026-06-10,63,30,140,0.3,2026-08-12,2026-09-11,0,0,0,0,0,2026-07-13T15:26:41.66499+00:00
f2d834fc-d53c-44f3-8591-be5a26ab4ef7,4d8f0268-961d-4d03-b75a-a944385d9c46,Elisa Bustamante,Agropecuaria Dos Caminos,Los Patos 1,34.83,P19,236176,2026-06-01,63,30,140,0.3,2026-08-03,2026-09-02,1,0,0,2,2,2026-07-13T15:26:41.66499+00:00
1ade474a-369e-4704-ae55-4953ba5db0de,4d8f0268-961d-4d03-b75a-a944385d9c46,Elisa Bustamante,Agropecuaria Dos Caminos,Los Patos 2,36.24,P19,236176,2026-05-28,63,30,140,0.3,2026-07-30,2026-08-29,5,4,2.9,4,4,2026-07-13T15:26:41.66499+00:00
70279d75-a867-48ca-b666-9a4a9d2ee3db,4d8f0268-961d-4d03-b75a-a944385d9c46,Elisa Bustamante,Agropecuaria Dos Caminos,Los Patos 3,6.11,P19,236176,2026-05-29,63,30,140,0.3,2026-07-31,2026-08-30,4,4,2.9,4,4,2026-07-13T15:26:41.66499+00:00
0f3add10-cf21-480c-a677-31104cc89563,e90c912b-cba3-4bb5-8e8e-f8ba1be4106c,Francisco Jose Márquez,Agropecuaria Juan Francisco C.A,Bancales Viejos,20.83,P18,235418,2026-05-20,63,30,140,0.3,2026-07-22,2026-08-21,13,41.4,29.6,4,4,2026-07-13T15:26:41.66499+00:00
4f0a29df-eb58-443e-a724-eb3553c69402,e90c912b-cba3-4bb5-8e8e-f8ba1be4106c,Francisco Jose Márquez,Agropecuaria Juan Francisco C.A,Juan,9.35,P18,235418,2026-06-10,63,30,140,0.3,2026-08-12,2026-09-11,0,0,0,0,0,2026-07-13T15:26:41.66499+00:00
